Type,Description,Sub category,sub-sub-category
coronary artery bypass,coronary artery bypass grafting,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass grafting,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass grafting,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass grafting,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass grafting,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass grafting,coronary artery bypass grafting,
coronary artery bypass,coronary artery bypass,,
Coronary artery bypass graft surgery,CABG,bypass surgery,graft surgery
Coronary artery bypass graft surgery,CABG,bypass surgery,graft surgery
Coronary artery bypass graft surgery,CABG,bypass surgery,graft surgery
Coronary artery bypass graft surgery,CABG,bypass surgery,graft surgery
coronary artery bypass surgery,coronary artery bypass surgery,bypass surgery,
coronary artery bypass surgery,coronary artery bypass surgery,bypass surgery,
coronary artery bypass surgery,coronary artery bypass surgery,bypass surgery,
coronary artery bypass surgery,coronary artery bypass surgery,bypass surgery,
Coronary artery fistula,bilateral coronary-to-pulmonary artery fistulas,,
Coronary artery fistula,Coronary artery fistula,,
Coronary artery fistula,Coronary artery fistula,,
Coronary artery fistula,multiple coronary arteries to pulmonary artery fistulas,,
Coronary artery fistula,Rupture of a coronary arteriovenous fistula,,
coronary artery spasm,coronary artery spasm,,
coronary artery spasm,Coronary artery spasm,,
coronary artery spasm,Coronary artery spasm,,
coronary artery spasm,Coronary artery spasm,,
coronary artery spasm,Coronary artery spasm,,
coronary artery spasm,Coronary artery spasm,,
coronary artery spasm,coronary artery spasm,,
coronary artery spasm,coronary artery spasm,,
coronary artery spasm,coronary artery spasm,,
coronary artery spasm,coronary artery spasm,,
coronary artery spasm,coronary artery spasm,,
coronary artery spasm,Drug-induced coronary artery spasm,,
coronary artery spasm,CAS,,
coronary heart,known coronary heart disease,,
coronary heart,coronary heart disease,,
coronary heart,coronary heart disease,,
coronary intervention,percutaneous coronary intervention,percutaneous coronary intervention,Percutaneous Coronary
coronary intervention,percutaneous coronary intervention,percutaneous coronary intervention,Percutaneous Coronary
coronary intervention,percutaneous coronary intervention,percutaneous coronary intervention,Percutaneous Coronary
coronary intervention,coronary intervention,,
coronary intervention,coronary intervention,,
coronary intervention,coronary interventional procedures,,
coronary intervention,coronary interventional procedures,,
coronary intervention,coronary interventions,,
coronary intervention,coronary interventions,,
coronary interventional procedures,coronary interventional procedures,,
coronary interventional procedures,coronary interventional procedures,,
Coronary microvascular dysfunction,CMD,,Percutaneous Coronary
Coronary microvascular dysfunction,Coronary microvascular dysfunction,Microvascular dysfunction,
Coronary microvascular dysfunction,coronary microvascular dysfunction,Microvascular dysfunction,
Coronary microvascular dysfunction,coronary microvascular dysfunction,Microvascular dysfunction,
Coronary microvascular dysfunction,microvascular coronary dysfunction,Microvascular dysfunction,
Coronary microvascular dysfunction,microvascular coronary dysfunction,Microvascular dysfunction,
Coronary microvascular dysfunction,CMD,,
Coronary spasm,Coronary microvascular spasm,,
Coronary spasm,Coronary spasm,,
Coronary spasm,Coronary spasm,,
Coronary spasm,coronary spasm,,
Coronary spasm,diffuse coronary microvascular spasm,,
coronary steal,coronary steal,,
coronary steal,coronary vascular steal,,
coronary stenosis,Epicardial coronary stenosis,Epicardial coronary stenosis,
coronary stenosis,The reduction of the coronary stenosis,,
Coronary stent,Coronary stent fracture,,
Coronary stent,coronary stent implantation,,
Coronary stent,coronary stenting,,
Coronary stent,coronary stenting,,
Coronary stent,coronary stenting,,
coronary stent implantation,coronary artery stent implantation,,
coronary stent implantation,coronary stent implantation,,
coronary stenting,coronary stenting,,
coronary stenting,coronary stenting,,
coronary stenting,coronary stenting,,
Coronary vasospasm,Coronary vasospasm,,
Coronary vasospasm,Coronary vasospasm,,
Coronary vasospasm,Coronary vasospasm,,
Coronary vasospasm,Coronary vasospasm,,
Coronary vasospasm,Coronary venospasm,,
Costal exostosis,Costal exostosis,,
Costal exostosis,Costal exostosis,,
costochondritis,costochondritis,,
costochondritis,costochondritis,,
costochondritis,costochondritis,,
Costovertebral joint dysfunction,Costovertebral joint dysfunction,,
cough,a coughing paroxysm,,
cough,Acute cough,,
cough,cough,,
cough,cough,,
cough,cough,,
cough,Cough,,
cough,five consecutive days of vigorous coughing,,
cough,Forceful Coughing,,
cough,strong cough,,
cough,the onset of coughing,,
cough,the onset of coughing,,
coxsackie virus B3,coxsackie virus B3,,
CR-attendance,CR-attendance,,
creatinine,creatinine,,
criteria,criteria,,
cross-clamp release,cross-clamp release,,
cyst,cyst rupture,cyst rupture,
cyst,cyst rupture,cyst rupture,
cyst,a case of cyst hydatid,hydatid cyst,
cyst,A huge cardiac hydatid cyst,hydatid cyst,
cyst,Cardiac hydatid cyst,hydatid cyst,
cyst,a thymic cyst,,
cyst,cysts,,
cyst,heart cysts,,
cyst,The cyst,,
cyst,enlarging kidney cysts,,
decreased pulse oximetry,decreased pulse oximetry,,
defecation,defecation,,
dentures,dentures,,
depression,anxiety and depressive,an emotional event,
depression,nonspecific ST depression,ST depression,
depression,postextrasystolic ST depression,ST depression,
depression,ST depression,ST depression,
depression,a diagnosis of depression,,
depression,depression,,
depression,depression,,
depression,Depression,,
depression,Depression,,
depression,depression,,
depression,depressive symptoms,,
depression,"Higher baseline depression ( odds ratio 1.50 ; 95 % CI , 1.13 - 1.99 ) scores",,
depression,Higher baseline depression scores,,
detailed explanation,detailed explanation,,
DHEAS levels,DHEAS levels,,
diabetes,diabetes duration,,
diabetes,diabetic status,,
diabetes,Lower DQOL scores,,
diaphoresis,diaphoresis,,
diaphoresis,diaphoresis,,
diaphoresis,diaphoresis,,
Diaphragmatic,Diaphragmatic cramp,,
Diaphragmatic,Diaphragmatic hernia,,
Diaphragmatic,Diaphragmatic spasm,,
diffuse spasm,diffuse spasm,diffuse spasm,
digestive,digestive causes,,
digestive,The digestive tract,,
dipyridamole,A dipyridamole-thallium test,,
dipyridamole,dipyridamole,,
dipyridamole,dipyridamole,,
dipyridamole,dipyridamole,,
dipyridamole,dipyridamole,,
dipyridamole,intravenous administration of dipyridamole,,
dipyridamole,the administration of dipyridamole,,
dipyridamole,The infusion of dipyridamole,,
dipyridamole infusion,dipyridamole infusion,,
dipyridamole infusion,dipyridamole infusion,,
dipyridamole infusion,Dipyridamole infusion,,
dipyridamole infusion,the dipyridamole infusion,,
disc herniation,thoracic disc herniation,,
disc herniation,unrecognized disc herniation,,
discontinuation of the drug,discontinuation of the drug,,
diseases of different specialties,diseases of different specialties,,
Fracture,displaced or nondisplaced nonbuckling fractures,,
Dissecting intramural hematoma of the esophagus,Dissecting intramural haematoma of the oesophagus,,
Dissecting intramural hematoma of the esophagus,Dissecting intramural hematoma of the esophagus,,
Dissecting intramural hematoma of the esophagus,Dissecting intramural hematoma of the esophagus,,
distention of the transition zone,distention of the transition zone,,
distinguish,distinguish,,
Disturbances of this interplay,Disturbances of this interplay,,
Disturbances of this interplay,Disturbances of this interplay,,
dive,a 40 m repetitive freshwater sinkhole dive,,
diverse,diverse,,
drainage,Standard pleural drainage,,
drainage,drainage of purulent material,,
drugs,Drug use,,
drugs,elevated blood drug concentrations,,
theophylline,IV theophylline,,
theophylline,oral theophylline,,
drugs,Several drugs,,
the ingestion of three tablets of ecstasy,the ingestion of three tablets of ecstasy,,
duodenal ulcer,a perforated duodenal ulcer,,
dysfunction of the belch reflex,dysfunction of the belch reflex,,
dysphagia,Dysphagia,,
dysphagia,dysphagia,,
dysphagia,dysphagia,,
dysphagia,dysphagia,,
dysphagia,dysphagia,,
dysphagia,dysphagia,,
dyspnea,dyspnea,,
dyspnea,dyspnea,,
dyspnea,dyspnea,,
dyspnea,dyspnea,,
dyspnea,dyspnea,,
dyspnea,dyspnea,,
dyspnea,dyspnea,,
dyspnea,dyspnoea,,
dyspnoea,acute dyspnoea,,
Early shock,Early shock,,
edema,edema,,
Edrophonium,Edrophonium,,
Edrophonium,Edrophonium,,
Edrophonium,Edrophonium chloride provocation,,
Elastofibroma dorsi,Elastofibroma dorsi,,
elective hemiarthroplasty of the left hip,elective hemiarthroplasty of the left hip,,
electrocardiographic,2-dimensional echocardiography,,
electrocardiographic,a non-diagnostic ECG,,
electrocardiographic,an electrocardiogram,,
electrocardiographic,atypical electrocardiographic changes,,
electrocardiographic,characteristic anterior electrocardiographic changes,,
electrocardiographic,ECG,,
electrocardiographic,ECG,,
electrocardiographic,ECG changes,,
electrocardiographic,echocardiography,,
electrocardiographic,electrocardiogram,,
electrocardiographic,electrocardiogram changes,,
electrocardiographic,electrocardiographic ( ECG ) or scintigraphic changes,,
electrocardiographic,electrocardiographic abnormalities,,
electrocardiographic,electrocardiographic changes,,
electrocardiographic,electrocardiographic changes,,
electrocardiographic,Electrocardiographic changes,,
electrocardiographic,electrocardiographic changes of ST-segment elevation,,
electrocardiographic,electrocardiographic ischemic changes,,
electrocardiographic,electrocardiographic ST-segment depression,,
electrocardiographic,focal ECG changes,,
electrocardiographic,initial 12-lead ECG,,
electrocardiographic,peculiar electrocardiographic changes,,
electrocardiographic,positive echocardiogram,,
electrocardiographic,SECG monitoring,,
electrocardiographic,suspicious electrocardiographic changes,,
electrocardiographic,transient electrocardiogram changes,,
electrocardiographic,Wellenoid ECG,,
electronic cigarette use,e-cigarette use,,
electronic cigarette use,the use of an electronic cigarette,,
elevated serum C-reactive protein,elevated serum C-reactive protein,,
elevation of cardiac markers,elevated cardiac biomarkers,,
elevation of cardiac markers,elevation of cardiac biomarkers,,
elevation of cardiac markers,elevations of cardiac injury markers,,
embolization,embolization,,
embolization,Septic embolization,,
embolization,symptomatic emboli,,
emesis,emesis,,
emesis,severe emesis,,
Endobronchial carcinoid,Endobronchial carcinoid,,
endocarditis,endocarditis,,
endoscopic resection,endoscopic removal of larvae,,
endoscopic resection,endoscopic resection,,
endoscopic resection,endoscopic resection,,
endoscopic resection,endoscopic resection of early esophageal cancer,,
endoscopic resection,Endoscopic Submucosal Dissection,,
endoscopic resection,the endoscopic removal of larva,,
endoscopic resection,ESD,,
endothelial,impaired endothelial functions,,
endothelial,ED,,
endothelial,ED,,
Enterogastric bile reflux,EGBR,,
Enterogastric bile reflux,Enterogastric bile reflux,,
esophagitis,EoE,,
Epicardial coronary stenosis,Epicardial coronary stenosis,coronary stenosis,
Epicardial fat necrosis,Mediastinal ( Epipericardial ) Fat Necrosis,Mediastinal fat necrosis,
Epicardial fat necrosis,EFN,,
Epicardial fat necrosis,EPFN,,
Epicardial fat necrosis,EPFN,,
Epicardial fat necrosis,Epicardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,Epipericardial fat necrosis,,
Epicardial fat necrosis,epipericardial fat necrosis,,
Epicardial fat necrosis,epipericardial fat necrosis,,
Epicardial fat necrosis,MFN,,
epilepsy,the importance of epilepsy,,
ergometrine,Ergonovine administration,Ergonovine administration,
ergometrine,ergonovine administration,Ergonovine administration,
ergometrine,ergometrine,,
erosion of an Amplatzer Atrial Septal Occluder,erosion of an Amplatzer Atrial Septal Occluder,,
erythema,erythema,,
esophageal,arising from a cardiac versus an esophageal,,
esophageal,"a large , submucosal oesophageal haematoma",,
esophageal,A large esophageal mucocele,,
esophageal,a midoesophageal diverticulum,,
esophageal,alterations of esophageal function,,
esophageal,an accessory esophageal disease,,
esophageal,an esophageal disorder,,
esophageal,Esophageal acid exposure,,
esophageal,Esophageal angina,,
esophageal,Esophageal Aphthae,,
esophageal,esophageal dilatation,,
esophageal,esophageal disease,,
esophageal,Esophageal disease,,
esophageal,Esophageal disease,,
esophageal,esophageal diseases,,
esophageal,esophageal disorders,,
esophageal,esophageal disorders,,
esophageal,Esophageal disorders,,
esophageal,esophageal disorders,,
esophageal,esophageal disorders,,
esophageal,esophageal disorders,,
esophageal,Esophageal dysfunction,,
esophageal,esophageal etiology,,
esophageal,Esophageal hypersensitivity,,
esophageal,esophageal insertion of self-expanding metal stents,,
esophageal,esophageal motor disorders,,
esophageal,Esophageal pain,,
esophageal,esophageal problems,,
esophageal,exposure of the esophageal mucosa,,
esophageal,functional abnormalities of the musculature of the esophagel body,,
esophageal,Higher intra-esophageal acidity,,
esophageal,hypertrophic esophageal muscles,,
esophageal,identification of the esophagus,,
esophageal,lowered intra-esophageal pH,,
esophageal,neuromuscular dysfunction of the esophagus,,
esophageal,oesophageal disease,,
esophageal,oesophageal disorders,,
esophageal,oesophageal infections,,
esophageal,Oesophageal ischaemia,,
esophageal,oesophagitis,,
esophageal,other esophageal diseases,,
esophageal,Perforation of the oesophagus,,
esophageal,postprandial esophageal pH monitoring,,
esophageal,prolonged oesophageal wall thickening,,
esophageal,sensitivity of the oesophagus,,
esophageal,Spastic disorders of the esophagus,,
esophageal,The esophageal involvement,,
esophageal,the esophagus,,
esophageal,The esophagus,,
esophageal,The esophagus,,
esophageal,the esophagus,,
esophageal,the esophagus,,
esophageal,the esophagus,,
esophageal,The esophagus,,
esophageal,the execution of long oesophageal myotomy,,
esophageal,the importance of esophageal abnormalities,,
esophageal,the oesophagus,,
esophageal,The oesophagus,,
esophageal,the oesophagus,,
esophageal,Various oesophageal manometric disorders,,
esophageal distension,Distension of the esophagus,,
esophageal distension,esophageal distension,,
esophageal distension,Esophageal distention,,
esophageal endoscopic dissection,esophageal ESD,endoscopic dissection,
esophageal endoscopic dissection,esophageal ESD treatment,endoscopic dissection,
esophageal hematoma,Spontaneous intramural esophageal hematoma,Spontaneous intramural esophageal hematoma,Spontaneous haematoma of the oesophagus
esophageal hematoma,Spontaneous intramural esophageal hematoma,Spontaneous intramural esophageal hematoma,Spontaneous haematoma of the oesophagus
esophageal hematoma,Spontaneous intramural oesophageal haematoma,Spontaneous intramural esophageal hematoma,Spontaneous haematoma of the oesophagus
esophageal hematoma,Spontaneous haematoma of the oesophagus,,Spontaneous haematoma of the oesophagus
esophageal hematoma,HE,,
esophageal hematoma,HE,,
esophageal motor disorder,a newly defined subset of primary esophageal motility disorders,,
esophageal motor disorder,a primary esophageal motor disorder of unknown cause,,
esophageal motor disorder,a primary esophageal motor disorder of unknown etiology,,
esophageal motor disorder,a rare esophageal motility disorder,,
esophageal motor disorder,abnormal esophageal motility,,
esophageal motor disorder,abnormal motility of the esophageal body,,
esophageal motor disorder,an esophageal motility disorder,,
esophageal motor disorder,an esophageal motor abnormality,,
esophageal motor disorder,an uncommon esophageal motility disorder,,
esophageal motor disorder,esophageal mechanisms,,
esophageal motor disorder,esophageal motility disorder,,
esophageal motor disorder,esophageal motility disorder,,
esophageal motor disorder,Esophageal motility disorders,,
esophageal motor disorder,Esophageal motility disorders,,
esophageal motor disorder,Esophageal motility disorders,,
esophageal motor disorder,Esophageal motility disorders,,
esophageal motor disorder,esophageal motility disorders,,
esophageal motor disorder,esophageal motility disorders,,
esophageal motor disorder,esophageal motor disorder,,
esophageal motor disorder,esophageal motor disorders,,
esophageal motor disorder,esophageal motor disorders,,
esophageal motor disorder,hypercontractile esophageal motility disorders,,
esophageal motor disorder,oesophageal dysmotility,,
esophageal motor disorder,Oesophageal motor abnormalities,,
esophageal motor disorder,oesophageal motor function disturbances,,
esophageal motor disorder,other esophageal motility disorders,,
esophageal motor disorder,other esophageal motility disorders,,
esophageal motor disorder,Primary esophageal motility disorder,,
esophageal motor disorder,primary oesophageal motility disorders,,
esophageal motor disorder,suspected esophageal motility abnormality,,
esophageal motor disorder,the incidence of esophageal abnormalities,,
esophageal motor disorder,EMDs,,
esophageal peristalsis,the absence of esophageal peristalsis,,
esophageal peristalsis,The appearance of esophageal peristalsis,,
esophageal spasm,diffuse esophageal spasm,diffuse esophageal spasm,
esophageal spasm,Diffuse esophageal spasm,diffuse esophageal spasm,
esophageal spasm,diffuse esophageal spasm,diffuse esophageal spasm,
esophageal spasm,diffuse esophageal spasm,diffuse esophageal spasm,
esophageal spasm,Diffuse esophageal spasm,diffuse esophageal spasm,
esophageal spasm,diffuse esophageal spasm,diffuse esophageal spasm,
esophageal spasm,Diffuse esophageal spasm,diffuse esophageal spasm,
esophageal spasm,Diffuse Esophageal Spasm,diffuse esophageal spasm,
esophageal spasm,Diffuse oesophageal spasm,diffuse esophageal spasm,
esophageal spasm,DES,diffuse spasm,diffuse esophageal spasm
esophageal spasm,DES,diffuse spasm,diffuse esophageal spasm
esophageal spasm,DES,diffuse spasm,diffuse esophageal spasm
esophageal spasm,DOS,,Diffuse esophageal spasm
esophageal spasm,Acid-provoked esophageal spasm,,
esophageal spasm,Esophageal spasm,,
esophageal spasm,esophageal spasm,,
esophageal spasm,esophageal spasms,,
esophageal spasm,Oesophageal spasm,,
esophageal spasm,spasm of the esophagus,,
esophageal sphincter,Impaired relaxation of the lower oesophageal sphincter,,
esophageal sphincter,the inability of the lower oesophageal sphincter,,
esophageal sphincter,upper esophageal sphincter ( UES ) dysfunction,,
esophagitis,esophagitis,,
esophagitis,esophagitis,,
esophagitis,esophagitis,,
esophagitis,Glass dust esophagitis,,
gastroesophageal ,Esophagogastric Crohn 's Disease,,
gastroesophageal ,esophago-gastric diseases,,
gastroesophageal ,Esopha-gogastric diseases,,
gastroesophageal ,esophagogastroduodenoscopy,,
esophagus,a chronic allergic inflammatory condition of the esophagus,,
Essential thrombocythemia,a case of essential thrombocythemia,,
Essential thrombocythemia,Essential thrombocythemia,,
exaggerated longitudinal muscle contraction,exaggerated longitudinal muscle contraction,,
exclusion of more common cardiovascular and pulmonary causes,exclusion of more common cardiovascular and pulmonary causes,,
exclusion of these morphologically and/or functionally defined diseases,exclusion of these morphologically and/or functionally defined diseases,,
exercise,repetitive upper-body exercise,,
exercise,the interruption of exercise,,
exercise,est pain under exercise .,,
exercise,exercise,,
exercise,exercise,,
exercise,exercise,,
exercise,exercise,,
exercise,exercise,,
exercise,exercise,,
exercise,exercise,,
exercise,exercise conditions,,
exercise,Exercise induced sternal fracture,,
exercise,Exercise stress testing,,
exercise,exercise-induced asthma,,
exercise,FDEIA,,
exercise,physical exercise,,
exercise,vigorous exercise,,
exercise,vocal exercise of self introduction,,
exercise test,an exercise test,,
exercise test,exercise testing,,
exercise test,Exercise testing,,
exercise test,exercise testing,,
exercise test,The exercise test,,
exercise test,treadmill exercise test,,
exertion,activity,,
exertion,effort,,
exertion,exertion,,
exertion,exertion,,
exertion,exertion,,
exertion,exertion,,
exertion,exertion,,
exertion,exertion,,
exertion,exertion,,
exertion,physical examination,,
exertion,sports,,
expansion of gastric tube,expansion of gastric tube,,
expansion of gastric tube,expansion of the gastric tube,,
expectoration of the tapeworm cystoides,expectoration of the tapeworm cystoides,,
exposure,exposure,,
exposure,exposure,,
exposure,Exposure,,
Tooth Extraction,extraction of a wisdom tooth,,
extreme discomfort,extreme discomfort,,
fall,a Fall,,
fall,a fall,,
fall,a fall,,
fall,a fall,,
fall,a fall,,
fall,a simple fall,,
fall,Fall,,
fall,fall,,
fall,fall,,
fatigue,fatigue,,
fever,fever,,
fever,fever,,
fever,fever,,
fibromyalgia,fibromyalgia,,
fibrositis,fibrositis,,
fire eating,fire eating,,
Fish bone,Fish bone,,
fistulas,Bilateral fistulas,,
Five bites,Five bites,,
flight,a recent transcontinental flight,,
flight,air travel,,
fluid accumulation,fluid accumulation,,
food bolus,food bolus,,
food intake,food intake,,
foreign body,foreign body,,
foreign body,foreign body,,
Fracture,Fracture,,
Fracture,fracture,,
Fracture,fracture displacement,,
Fracture,Fractures,,
gallbladder,disease of the gallbladder,,
gallbladder,gallbladder origin,,
gastric,burning epigastric discomfort,,
gastric,gastric insufflation,,
gastric anisakiasis,acute gastric anisakiasis,,
gastric anisakiasis,gastric anisakiasis,,
gastric anisakiasis,gastric anisakiasis,,
gastric anisakiasis,gastric anisakiasis,,
gastric anisakiasis,gastric anisakiasis,,
gastric anisakiasis,gastric anisakiasis,,
Gastric reflux,Gastric acid reflux,Gastric acid reflux,
Gastric reflux,gastric reflux,,
Gastric reflux,the reflux of gastric contents,,
gastroesophageal reflux,A diagnosis of weekly GERD,,
gastroesophageal reflux,a gastro-oesophageal reflux,,
gastroesophageal reflux,Frequent gastro-oesophageal reflux symptoms,,
gastroesophageal reflux,Frequent GERD symptoms,,
gastroesophageal reflux,gastroesophageal reflux,,
gastroesophageal reflux,gastroesophageal reflux,,
gastroesophageal reflux,gastroesophageal reflux,,
gastroesophageal reflux,Gastroesophageal reflux,,
gastroesophageal reflux,gastroesophageal reflux,,
gastroesophageal reflux,Gastroesophageal reflux,,
gastroesophageal reflux,Gastroesophageal reflux,,
gastroesophageal reflux,gastroesophageal reflux,,
gastroesophageal reflux,Gastroesophageal reflux,,
gastroesophageal reflux,gastroesophageal reflux,,
gastroesophageal reflux,gastroesophageal reflux,,
gastroesophageal reflux,gastroesophageal reflux ( GER ) disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,Gastroesophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux disease,,
gastroesophageal reflux,Gastro-esophageal reflux disease,,
gastroesophageal reflux,gastroesophageal reflux origin,,
gastroesophageal reflux,gastroesophageal reflux-associated esophagitis,,
gastroesophageal reflux,gastro-oesophageal disease,,
gastroesophageal reflux,gastro-oesophageal disorders,,
gastroesophageal reflux,gastro-oesophageal reflux,,
gastroesophageal reflux,Gastro-oesophageal reflux,,
gastroesophageal reflux,gastro-oesophageal reflux,,
gastroesophageal reflux,gastro-oesophageal reflux,,
gastroesophageal reflux,Gastro-oesophageal reflux disease,,
gastroesophageal reflux,Gastro-oesophageal reflux disease,,
gastroesophageal reflux,Gastro-oesophageal reflux disease,,
gastroesophageal reflux,gastro-oesophageal reflux disease,,
gastroesophageal reflux,GER,,
gastroesophageal reflux,GER,,
gastroesophageal reflux,GER disease,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,GERD,,
gastroesophageal reflux,pathological gastroesophageal reflux,,
gastroesophageal reflux,Presence of GERD,,
gastroesophageal reflux,presumed gastro-oesophageal reflux,,
gastroesophageal reflux,reflux of gastric content in the oesophagus even in the absence of endoscopically visible mucosal lesions,,
gastroesophageal reflux,GORD,,
gastroesophageal reflux,GORD,,
gastrointestinal,"gastrointestinal , muscular and respiratory causes",,
gastrointestinal,gastrointestinal causes,,
gastrointestinal,gastrointestinal disease,,
gastrointestinal,Gastrointestinal disorders,,
gastrointestinal,gastrointestinal endoscopic examination,,
gastrointestinal,gastrointestinal factors,,
gastrointestinal,Gastrointestinal malformations,,
gastrointestinal,gastrointestinal perforation,,
gastrointestinal,GI disease,,
gastrointestinal,much upper gastrointestinal ( UGI ) diseases,,
gastrointestinal,Several diseases of the gastrointestinal tract,,
gastrointestinal,structural problems of the upper gastrointestinal tract,,
gastrointestinal,upper gastrointestinal bleeding,,
gastrointestinal,various Gastrointestinal ( GI ) symptoms,,
gastrointestinal,gastroenterological diseases,,
granulocyte-macrophage colony stimulating factor,GM-CSF,,
gurgling noises,gurgling noises,,
haematemesis,haematemesis,,
haematemesis,hematemesis,,
haematopoietic,haematopoietic reconstitution,,
haemorrhage,intracystic haemorrhage,,
Halitosis,Halitosis,,
Hamman 's syndrome,Hamman 's syndrome,,
Hamman 's syndrome,Hamman 's syndrome,,
Hamman 's syndrome,Hamman 's Syndrome,,
headache,headaches,,
heart,compression of the heart,,
heart,a commonly occurring heart defect,,
heart,a heart attack,,
heart,a heart rate,,
heart,all forms of anatomic heart disease,,
heart,disorders of the heart,,
heart,Heart disease,,
heart,heart disease,,
heart,heart disease,,
heart,other forms of heart disease,,
heart,right heart failure,,
heart,Sarcoid heart disease,,
heart,severe heart disease,,
heart,severe heart failure,,
heart,strangulation of the heart,,
heart,The snake raiser heart,,
heart attack,heart attack,,
heart attack,heart attack,,
heart ischaemia,ischemic heart pain,ischemic heart pain,
heart ischaemia,ischemic heart pain,ischemic heart pain,
heart ischaemia,ischemic heart disease,,
heart ischaemia,suspected ischaemic heart disease,,
heart ischaemia,that of ischemic heart disease,,
heart ischaemia,the nociceptive stimulation of the ischemic heart,,
heart problems,a rare primary cardiac neoplasm,,
heart problems,acute myocardial infarct,,
heart problems,apparent non-cardiac causes,,
heart problems,complete heart block,,
heart problems,compression of adjacent cardiac structures,,
heart problems,elevated cardiac enzymes,,
heart problems,elevated cardiac enzymes,,
heart problems,elevated cardiac troponin,,
heart problems,ischemia of the heart muscle,,
Heart Transplant,a Heart Transplant,transplantation,
Heart Transplant,cardiac transplantation,transplantation,
Heartburn,Frequent heartburn,,
Heartburn,Heartburn,,
Heartburn,Heartburn,,
Heartburn,Heartburn,,
Heartburn,Heartburn,,
Heartburn,usual heartburn symptoms,,
hemoptysis,hemoptysis,,
hemoptysis,small amounts of hemoptysis,,
Hemothorax,hemothorax,,
Hemothorax,Hemothorax,,
herpes zoster,herpes zoster,,
hiatal hernia,Giant hiatal hernias,,
hiatal hernia,hiatal hernia,,
hiatal hernia,hiatal hernia,,
high energy impact,high energy impact,,
High-amplitude contractions,high-amplitude peristaltic contractions of the esophagus,high amplitude oesophageal contractions,High-amplitude peristaltic contractions
High-amplitude contractions,High-amplitude peristaltic esophageal contractions,high amplitude oesophageal contractions,High-amplitude peristaltic contractions
High-amplitude contractions,high amplitude oesophageal contractions,high amplitude oesophageal contractions,
High-amplitude contractions,high-amplitude peristaltic contractions,,High-amplitude peristaltic contractions
surgery,History of previous surgery,,
Hydatid cyst of lung,a pulmonary giant hydatid cyst,,
Hydatid cyst of lung,Hydatid cyst of lung,,
Hydatid of lung,hydatid disease of the lung,,
Hydatid of lung,Pulmonary hydatid disease,,
hydatidoptysis,hydatidoptysis,,
hypereosinophilia,hypereosinophilia,,
Hypermobility,Hypermobility,,
Hypermobility,hypermobility,,
hypertensive patients,hypertensive patients,,
hyperthyroidism,hyperthyroidism,,
Hypertonic glucose,Hypertonic glucose,,
Hypertriglyceridemia-Induced Pancreatitis,Hypertriglyceridemia-Induced Pancreatitis,,
